threshold,acc,balanced_acc,f1,precision,recall,specificity,youden_j,tp,tn,fp,fn
0.6,0.5426356589147286,0.63125,0.6242038216560509,0.4537037037037037,1.0,0.2625,0.26249999999999996,49.0,21.0,59.0,0.0
0.61,0.5503875968992248,0.6375,0.6282051282051282,0.45794392523364486,1.0,0.275,0.2749999999999999,49.0,22.0,58.0,0.0
0.62,0.5503875968992248,0.6375,0.6282051282051282,0.45794392523364486,1.0,0.275,0.2749999999999999,49.0,22.0,58.0,0.0
0.63,0.5503875968992248,0.6375,0.6282051282051282,0.45794392523364486,1.0,0.275,0.2749999999999999,49.0,22.0,58.0,0.0
0.64,0.5581395348837209,0.64375,0.6322580645161291,0.46226415094339623,1.0,0.2875,0.2875000000000001,49.0,23.0,57.0,0.0
0.65,0.5658914728682171,0.65,0.6363636363636364,0.4666666666666667,1.0,0.3,0.30000000000000004,49.0,24.0,56.0,0.0
0.66,0.5581395348837209,0.639795918367347,0.627450980392157,0.46153846153846156,0.9795918367346939,0.3,0.2795918367346939,48.0,24.0,56.0,1.0
0.67,0.5581395348837209,0.6318877551020409,0.6174496644295302,0.46,0.9387755102040817,0.325,0.26377551020408174,46.0,26.0,54.0,3.0
0.68,0.5813953488372093,0.6506377551020408,0.6301369863013698,0.4742268041237113,0.9387755102040817,0.3625,0.3012755102040816,46.0,29.0,51.0,3.0
0.69,0.5891472868217055,0.6568877551020409,0.6344827586206897,0.4791666666666667,0.9387755102040817,0.375,0.3137755102040818,46.0,30.0,50.0,3.0
0.7,0.5968992248062015,0.6631377551020409,0.6388888888888888,0.4842105263157895,0.9387755102040817,0.3875,0.32627551020408174,46.0,31.0,49.0,3.0
0.71,0.6201550387596899,0.6818877551020408,0.652482269503546,0.5,0.9387755102040817,0.425,0.3637755102040816,46.0,34.0,46.0,3.0
0.72,0.627906976744186,0.6881377551020409,0.6571428571428571,0.5054945054945055,0.9387755102040817,0.4375,0.3762755102040818,46.0,35.0,45.0,3.0
0.73,0.627906976744186,0.6881377551020409,0.6571428571428571,0.5054945054945055,0.9387755102040817,0.4375,0.3762755102040818,46.0,35.0,45.0,3.0
0.74,0.6434108527131783,0.6966836734693878,0.661764705882353,0.5172413793103449,0.9183673469387755,0.475,0.3933673469387755,45.0,38.0,42.0,4.0
0.75,0.6666666666666666,0.7154336734693878,0.6766917293233082,0.5357142857142857,0.9183673469387755,0.5125,0.4308673469387756,45.0,41.0,39.0,4.0
0.76,0.6744186046511628,0.7216836734693878,0.6818181818181818,0.5421686746987951,0.9183673469387755,0.525,0.44336734693877555,45.0,42.0,38.0,4.0
0.77,0.6744186046511628,0.7216836734693878,0.6818181818181818,0.5421686746987951,0.9183673469387755,0.525,0.44336734693877555,45.0,42.0,38.0,4.0
0.78,0.6821705426356589,0.7279336734693878,0.6870229007633588,0.5487804878048781,0.9183673469387755,0.5375,0.4558673469387755,45.0,43.0,37.0,4.0
0.79,0.6821705426356589,0.7279336734693878,0.6870229007633588,0.5487804878048781,0.9183673469387755,0.5375,0.4558673469387755,45.0,43.0,37.0,4.0
0.8,0.6821705426356589,0.7239795918367347,0.682170542635659,0.55,0.8979591836734694,0.55,0.4479591836734693,44.0,44.0,36.0,5.0
0.81,0.6821705426356589,0.7239795918367347,0.682170542635659,0.55,0.8979591836734694,0.55,0.4479591836734693,44.0,44.0,36.0,5.0
0.82,0.6821705426356589,0.7200255102040816,0.6771653543307087,0.5512820512820513,0.8775510204081632,0.5625,0.44005102040816313,43.0,45.0,35.0,6.0
0.83,0.6744186046511628,0.7058673469387755,0.6612903225806451,0.5466666666666666,0.8367346938775511,0.575,0.411734693877551,41.0,46.0,34.0,8.0
0.84,0.6744186046511628,0.7058673469387755,0.6612903225806451,0.5466666666666666,0.8367346938775511,0.575,0.411734693877551,41.0,46.0,34.0,8.0
0.85,0.6821705426356589,0.7081632653061225,0.6611570247933884,0.5555555555555556,0.8163265306122449,0.6,0.416326530612245,40.0,48.0,32.0,9.0
0.86,0.6976744186046512,0.7206632653061225,0.6722689075630252,0.5714285714285714,0.8163265306122449,0.625,0.4413265306122449,40.0,50.0,30.0,9.0
0.87,0.7131782945736435,0.7331632653061224,0.6837606837606838,0.5882352941176471,0.8163265306122449,0.65,0.4663265306122448,40.0,52.0,28.0,9.0
0.88,0.7364341085271318,0.7519132653061225,0.7017543859649124,0.6153846153846154,0.8163265306122449,0.6875,0.5038265306122449,40.0,55.0,25.0,9.0
